Mod:Item:MetaData, Localized Name
industrialupgrade:BlockBaseMachine3:14, Helium Generator
industrialupgrade:BlockBaseMachine3:15, Electrolyzer
industrialupgrade:BlockBaseMachine4:0, Automatic Turning Table
industrialupgrade:BlockBaseMachine4:1, Radiation Purifier
industrialupgrade:BlockBaseMachine4:2, Privatizer
industrialupgrade:BlockBaseMachine4:3, Wireless Adjuster
industrialupgrade:BlockBaseMachine4:4, Automatic Hunter
industrialupgrade:BlockBaseMachine4:5, Electric Heater
industrialupgrade:BlockBaseMachine4:6, Liquid Heater
industrialupgrade:doublemolecular:0, Adv Molecular Transformer
industrialupgrade:BlockPreciousOre:0, Ruby Ore
industrialupgrade:BlockPreciousOre:1, Sapphire Ore
industrialupgrade:BlockPreciousOre:2, Topaz Ore
industrialupgrade:PreciousBlock:0, Block of Ruby
industrialupgrade:PreciousBlock:1, Block of Sapphire
industrialupgrade:PreciousBlock:2, Block of Topaz
industrialupgrade:NetherOre:0, Nether Michalov Ore
industrialupgrade:NetherOre:1, Nether Magnesium Ore
industrialupgrade:NetherOre:2, Nether Chromium Ore
industrialupgrade:NetherOre:3, Nether Platinum Ore
industrialupgrade:NetherOre:4, Nether Iridium Ore
industrialupgrade:NetherOre:5, Nether Tungsten Ore
industrialupgrade:NetherOre:6, Nether Spinel Ore
industrialupgrade:NetherOre:7, Nether Coal Ore
industrialupgrade:NetherOre:8, Nether Copper Ore
industrialupgrade:NetherOre:9, Nether Diamond Ore
industrialupgrade:NetherOre:10, Nether Emerald Ore
industrialupgrade:NetherOre:11, Nether Gold Ore
industrialupgrade:NetherOre:12, Nether Iron Ore
industrialupgrade:NetherOre:13, Nether Lapis Lazuli Ore
industrialupgrade:NetherOre:14, Nether Lead Ore
industrialupgrade:NetherOre:15, Nether Redstone Ore
industrialupgrade:EndOre:0, Ender Michalov Ore
industrialupgrade:EndOre:1, Ender Magnesium Ore
industrialupgrade:EndOre:2, Ender Chromium Ore
industrialupgrade:EndOre:3, Ender Platinum Ore
industrialupgrade:EndOre:4, Ender Iridium Ore
industrialupgrade:EndOre:5, Ender Tungsten Ore
industrialupgrade:EndOre:6, Ender Spinel Ore
industrialupgrade:EndOre:7, Ender Coal Ore
industrialupgrade:EndOre:8, Ender Copper Ore
industrialupgrade:EndOre:9, Ender Diamond Ore
industrialupgrade:EndOre:10, Ender Emerald Ore
industrialupgrade:EndOre:11, Ender Gold Ore
industrialupgrade:EndOre:12, Ender Iron Ore
industrialupgrade:EndOre:13, Ender Lapis Lazuli Ore
industrialupgrade:EndOre:14, Ender Lead Ore
industrialupgrade:EndOre:15, Ender Redstone Ore
industrialupgrade:netherore1:0, Nether Tin Ore
industrialupgrade:netherore1:1, Nether Uranium Ore
industrialupgrade:netherore1:2, Nether Aluminum Ore
industrialupgrade:netherore1:3, Nether Titanium Ore
industrialupgrade:netherore1:4, Nether Cobalt Ore
industrialupgrade:endore1:0, Ender Tin Ore
industrialupgrade:endore1:1, Ender Uranium Ore
industrialupgrade:endore1:2, Ender Aluminum Ore
industrialupgrade:endore1:3, Ender Titanium Ore
industrialupgrade:endore1:4, Ender Cobalt Ore
industrialupgrade:HeavyOre:0, Magnetite
industrialupgrade:HeavyOre:1, Calaverite
industrialupgrade:HeavyOre:2, Galena
industrialupgrade:HeavyOre:3, Nickelite
industrialupgrade:HeavyOre:4, Pyrite
industrialupgrade:HeavyOre:5, Quartzite
industrialupgrade:HeavyOre:6, Uranite
industrialupgrade:HeavyOre:7, Azurite
industrialupgrade:HeavyOre:8, Rhodonite
industrialupgrade:HeavyOre:9, Ahlfeldite
industrialupgrade:HeavyOre:10, Euxenite
industrialupgrade:HeavyOre:11, Smithsonite
industrialupgrade:Ore:0, Michalov Ore
industrialupgrade:Ore:1, Aluminum Ore
industrialupgrade:Ore:2, Vanadium Ore
industrialupgrade:Ore:3, Tungsten Ore
industrialupgrade:Ore:6, Cobalt Ore
industrialupgrade:Ore:7, Magnesium Ore
industrialupgrade:Ore:8, Nickel Ore
industrialupgrade:Ore:9, Platinum Ore
industrialupgrade:Ore:10, Titanium Ore
industrialupgrade:Ore:11, Chromium Ore
industrialupgrade:Ore:12, Spinel Ore
industrialupgrade:Ore:14, Silver Ore
industrialupgrade:Ore:15, Zinc Ore
industrialupgrade:baseore1:0, Manganese Ore
industrialupgrade:baseore1:1, Iridium Ore
industrialupgrade:baseore1:2, Germanium Ore
industrialupgrade:IUTransformer:0, UMV-Transformer
industrialupgrade:IUTransformer:1, UHV-Transformer
industrialupgrade:IUTransformer:2, UEV-Transformer
industrialupgrade:IUTransformer:3, UMH-Transformer
industrialupgrade:IUTransformer:4, UMEV-Transformer
industrialupgrade:IUTransformer:5, UHEV-Transformer
industrialupgrade:IUTransformer:6, HEEV-Transformer
industrialupgrade:RadiationOre:0, Americium Ore
industrialupgrade:RadiationOre:1, Neptunium Ore
industrialupgrade:RadiationOre:2, Curium Ore
industrialupgrade:AdvChamber:0, Improved Reactor Chamber
industrialupgrade:ImpChamber:0, Advanced Reactor Chamber
industrialupgrade:PerChamber:0, Perfect Reactor Chamber
industrialupgrade:IUBlock:0, Block of Michalov
industrialupgrade:IUBlock:1, Block of Aluminum
industrialupgrade:IUBlock:2, Block of Vanadium
industrialupgrade:IUBlock:3, Block of Tungsten
industrialupgrade:IUBlock:4, Block of Invar
industrialupgrade:IUBlock:5, Block of Caravky
industrialupgrade:IUBlock:6, Block of Cobalt
industrialupgrade:IUBlock:7, Block of Magnesium
industrialupgrade:IUBlock:8, Block of Nickel
industrialupgrade:IUBlock:9, Block of Platinum
industrialupgrade:IUBlock:10, Block of Titanium
industrialupgrade:IUBlock:11, Block of Chromium
industrialupgrade:IUBlock:12, Block of Spinel
industrialupgrade:IUBlock:13, Block of Electrum
industrialupgrade:IUBlock:14, Block of Silver
industrialupgrade:IUBlock:15, Block of Zinc
industrialupgrade:baseblock1:0, Block of Manganese
industrialupgrade:baseblock1:1, Block of Iridium
industrialupgrade:baseblock1:2, Block of Germanium
industrialupgrade:BlockSolidMatter:0, Air Solid Matter Generator
industrialupgrade:BlockSolidMatter:1, Water Solid Matter Generator
industrialupgrade:BlockSolidMatter:2, Earth Solid Matter Generator
industrialupgrade:BlockSolidMatter:3, Ender Solid Matter Generator
industrialupgrade:BlockSolidMatter:4, Solid Matter Generator
industrialupgrade:BlockSolidMatter:5, Nether Solid Matter Generator
industrialupgrade:BlockSolidMatter:6, Night Solid Matter Generator
industrialupgrade:BlockSolidMatter:7, Solar Solid Matter Generator
industrialupgrade:BlockConverterSolidMatter:0, Solid Matter Transformer
industrialupgrade:AlloysBlock:0, Block of Aluminum Bronze
industrialupgrade:AlloysBlock:1, Block of Alumel
industrialupgrade:AlloysBlock:2, Block of Red Brass
industrialupgrade:AlloysBlock:3, Block of Muntz Metal
industrialupgrade:AlloysBlock:4, Block of Nichrome
industrialupgrade:AlloysBlock:5, Block of Alclad
industrialupgrade:AlloysBlock:6, Block of Vanadium Aluminum
industrialupgrade:AlloysBlock:7, Block of Vitalium
industrialupgrade:AlloysBlock:8, Block of Duralumin
industrialupgrade:AlloysBlock:9, Block of Ferromanganese
industrialupgrade:BlockBaseMachine2:0, Improved Kinetic Generator
industrialupgrade:BlockBaseMachine2:1, Advanced Kinetic Generator
industrialupgrade:BlockBaseMachine2:2, Perfect Kinetic Generator
industrialupgrade:BlockBaseMachine2:3, Improved Alloy Manufacturer
industrialupgrade:BlockBaseMachine2:4, Improved Geothermal Generator
industrialupgrade:BlockBaseMachine2:5, Advanced Geothermal Generator
industrialupgrade:BlockBaseMachine2:6, Perfect Geothermal Generator
industrialupgrade:BlockBaseMachine2:7, Improved Nuclear Reactor
industrialupgrade:BlockBaseMachine2:8, Advanced Nuclear Reactor
industrialupgrade:BlockBaseMachine2:9, Perfect Nuclear Reactor
industrialupgrade:BlockBaseMachine2:10, Enrichment
industrialupgrade:BlockBaseMachine2:11, Nuclear Fusion Reactor
industrialupgrade:BlockBaseMachine2:12, Mineral Separator
industrialupgrade:BlockBaseMachine2:13, Wither Manufacturer
industrialupgrade:BlockBaseMachine2:14, Magnetic Catcher
industrialupgrade:BlockBaseMachine2:15, Magnetic Generator
industrialupgrade:machines:1, Improved Matter Generator
industrialupgrade:machines:2, Advanced Matter Generator
industrialupgrade:machines:3, Perfect Matter Generator
industrialupgrade:machines:4, Alloy Manufacturer
industrialupgrade:machines:5, §9Neutron Particle Generator
industrialupgrade:machines:6, Circuit Manufacturer
industrialupgrade:machines:7, Cobblestone Generator
industrialupgrade:machines:8, Quantum Quarry
industrialupgrade:machines:9, Module Handler
industrialupgrade:machines:10, Improved Generator
industrialupgrade:machines:11, Advanced Generator
industrialupgrade:machines:12, Perfect Generator
industrialupgrade:machines:13, Improved Quantum Quarry
industrialupgrade:machines:14, Advanced Quantum Quarry
industrialupgrade:machines:15, Perfect Quantum Quarry
industrialupgrade:impgenerator_se:0, Advanced Solar Energy Generator
industrialupgrade:advgenerator_se:0, Improved Solar Energy Generator
industrialupgrade:generator_se:0, Solar Energy Generator
industrialupgrade:molecular:0, Molecular Transformer
industrialupgrade:SunnariumMaker:0, Sunnarium Manufacturer
industrialupgrade:SunnariumPanelMaker:0, Sunnarium Plate Manufacturer
industrialupgrade:Aminpanel:0, §8Administrative Solar Panel
industrialupgrade:electricblock:0, §eImproved MFSU
industrialupgrade:electricblock:0, §eImproved MFSU
industrialupgrade:electricblock:1, §bAdvanced MFSU
industrialupgrade:electricblock:1, §bAdvanced MFSU
industrialupgrade:electricblock:2, BatBox
industrialupgrade:electricblock:2, BatBox
industrialupgrade:electricblock:3, MFE
industrialupgrade:electricblock:3, MFE
industrialupgrade:electricblock:4, MFSU
industrialupgrade:electricblock:4, MFSU
industrialupgrade:electricblock:5, CESU
industrialupgrade:electricblock:5, CESU
industrialupgrade:electricblock:6, Perfect MFSU
industrialupgrade:electricblock:6, Perfect MFSU
industrialupgrade:electricblock:7, Baryon MFSU
industrialupgrade:electricblock:7, Baryon MFSU
industrialupgrade:electricblock:8, Hadron MFSU
industrialupgrade:electricblock:8, Hadron MFSU
industrialupgrade:electricblock:9, Graviton MFSU
industrialupgrade:electricblock:9, Graviton MFSU
industrialupgrade:electricblock:10, Quark MFSU
industrialupgrade:electricblock:10, Quark MFSU
industrialupgrade:BlockChargepad:0, Charge Pad (Improved MFSU)
industrialupgrade:BlockChargepad:0, Charge Pad (Improved MFSU)
industrialupgrade:BlockChargepad:1, Charge Pad (Advanced MFSU)
industrialupgrade:BlockChargepad:1, Charge Pad (Advanced MFSU)
industrialupgrade:BlockChargepad:2, Charge Pad (BatBox)
industrialupgrade:BlockChargepad:2, Charge Pad (BatBox)
industrialupgrade:BlockChargepad:3, Charge Pad (CESU)
industrialupgrade:BlockChargepad:3, Charge Pad (CESU)
industrialupgrade:BlockChargepad:4, Charge Pad (MFE)
industrialupgrade:BlockChargepad:4, Charge Pad (MFE)
industrialupgrade:BlockChargepad:5, Charge Pad (MFSU)
industrialupgrade:BlockChargepad:5, Charge Pad (MFSU)
industrialupgrade:BlockChargepad:6, Charge Pad (Perfect MFSU)
industrialupgrade:BlockChargepad:6, Charge Pad (Perfect MFSU)
industrialupgrade:BlockChargepad:7, Charge Pad (Baryon MFSU)
industrialupgrade:BlockChargepad:7, Charge Pad (Baryon MFSU)
industrialupgrade:BlockChargepad:8, Charge Pad (Hadron MFSU)
industrialupgrade:BlockChargepad:8, Charge Pad (Hadron MFSU)
industrialupgrade:BlockChargepad:9, Charge Pad (Graviton MFSU)
industrialupgrade:BlockChargepad:9, Charge Pad (Graviton MFSU)
industrialupgrade:BlockChargepad:10, Charge Pad (Quark MFSU)
industrialupgrade:BlockChargepad:10, Charge Pad (Quark MFSU)
industrialupgrade:BlockSintezator:0, Panel Combiner
industrialupgrade:machines_base:0, Improved Macerator
industrialupgrade:machines_base:1, Advanced Macerator
industrialupgrade:machines_base:2, Perfect Macerator
industrialupgrade:machines_base:3, Improved Compressor
industrialupgrade:machines_base:4, Advanced Compressor
industrialupgrade:machines_base:5, Perfect Compressor
industrialupgrade:machines_base:6, Improved Electric Furnace
industrialupgrade:machines_base:7, Advanced Electric Furnace
industrialupgrade:machines_base:8, Perfect Electric Furnace
industrialupgrade:machines_base:9, Improved Extractor
industrialupgrade:machines_base:10, Advanced Extractor
industrialupgrade:machines_base:11, Perfect Extractor
industrialupgrade:machines_base:12, Improved Metal Former
industrialupgrade:machines_base:13, Advanced Metal Former
industrialupgrade:machines_base:14, Perfect Metal Former
industrialupgrade:machines_base1:0, Improved Recycler
industrialupgrade:machines_base1:1, Advanced Recycler
industrialupgrade:machines_base1:2, Perfect Recycler
industrialupgrade:machines_base1:3, Improved Combined Recycler
industrialupgrade:machines_base1:4, Advanced Combined Recycler
industrialupgrade:machines_base1:5, Perfect Combined Recycler
industrialupgrade:machines_base1:6, Combined Macerator
industrialupgrade:machines_base1:7, Improved Combined Macerator
industrialupgrade:machines_base1:8, Advanced Combined Macerator
industrialupgrade:machines_base1:9, Perfect Combined Macerator
industrialupgrade:machines_base2:0, Rolling Machine
industrialupgrade:machines_base2:1, Improved Rolling Machine
industrialupgrade:machines_base2:2, Advanced Rolling Machine
industrialupgrade:machines_base2:3, Perfect Rolling Machine
industrialupgrade:machines_base2:4, Extruder
industrialupgrade:machines_base2:5, Improved Extruder
industrialupgrade:machines_base2:6, Advanced Extruder
industrialupgrade:machines_base2:7, Perfect Extruder
industrialupgrade:machines_base2:8, Cutting Machine
industrialupgrade:machines_base2:9, Improved Cutting Machine
industrialupgrade:machines_base2:10, Advanced Cutting Machine
industrialupgrade:machines_base2:11, Perfect Cutting Machine
industrialupgrade:machines_base3:0, Autonomous Farm
industrialupgrade:machines_base3:1, Improved Autonomous Farm
industrialupgrade:machines_base3:2, Advanced Autonomous Farm
industrialupgrade:machines_base3:3, Perfect Autonomous Farm
industrialupgrade:machines_base3:4, Scrap Assembler
industrialupgrade:machines_base3:5, Improved Scrap Assembler
industrialupgrade:machines_base3:6, Advanced Scrap Assembler
industrialupgrade:machines_base3:7, Perfect Scrap Assembler
industrialupgrade:BlockUpgrade:0, Modification Station
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
industrialupgrade:blockCable, null.name
industrialupgrade:OilRefiner:0, Oil Refinery
industrialupgrade:blockOil_IU, Oil Vein
industrialupgrade:BlockQuarryOil:0, Core Search Drilling Rig
industrialupgrade:BlockOilGetter:0, Pumpjack
industrialupgrade:BlockCombinerSolidMatter:0, Solid Matter Generator Combiner
industrialupgrade:OilAdvRefiner:0, Advanced Oil Refinery
industrialupgrade:BlockTank:0, Liquid Tank
industrialupgrade:BlockTank:1, Advanced Liquid Tank
industrialupgrade:BlockTank:2, Improved Liquid Tank
industrialupgrade:BlockTank:3, Perfect Liquid Tank
industrialupgrade:VeinOre:0, Magnetite
industrialupgrade:VeinOre:1, Calaverite
industrialupgrade:VeinOre:2, Galena
industrialupgrade:VeinOre:3, Nickelite
industrialupgrade:VeinOre:4, Pyrite
industrialupgrade:VeinOre:5, Quartzite
industrialupgrade:VeinOre:6, Uranite
industrialupgrade:VeinOre:7, Azurite
industrialupgrade:VeinOre:8, Rhodonite
industrialupgrade:VeinOre:9, Ahlfeldite
industrialupgrade:VeinOre:10, Euxenite
industrialupgrade:VeinOre:11, Smithsonite
industrialupgrade:IUError:0, Error, insufficient power
industrialupgrade:blockThaumSolarPanel:0, Thaumium Solar Panel
industrialupgrade:blockThaumSolarPanel:1, Void Solar Panel
industrialupgrade:thaummachines:0, Aspect Generator.name
industrialupgrade:blockAvSolarPanel:0, §9Neutronium Solar Panel
industrialupgrade:blockAvSolarPanel:1, Infinity Solar Panel
industrialupgrade:blockBotSolarPanel:0, §bManasteel Solar Panel
industrialupgrade:blockBotSolarPanel:1, §dElementum Solar Panel
industrialupgrade:blockBotSolarPanel:2, §aTerrasteel Solar Panel
industrialupgrade:blockThaumTinkerSolarPanel:0, Ichorium Solar Panel
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Steel Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
IronChest:BlockIronChest:8, Netherite Chest
Mekanism:BasicBlock:0, Osmium Block
Mekanism:BasicBlock:1, Bronze Block
Mekanism:BasicBlock:2, Refined Obsidian
Mekanism:BasicBlock:3, Charcoal Block
Mekanism:BasicBlock:4, Refined Glowstone
Mekanism:BasicBlock:5, Steel Block
Mekanism:BasicBlock:6, Basic Bin
Mekanism:BasicBlock:6, Advanced Bin
Mekanism:BasicBlock:6, Elite Bin
Mekanism:BasicBlock:6, Ultimate Bin
Mekanism:BasicBlock:7, Teleporter Frame
Mekanism:BasicBlock:8, Steel Casing
Mekanism:BasicBlock:9, Dynamic Tank
Mekanism:BasicBlock:10, Structural Glass
Mekanism:BasicBlock:11, Dynamic Valve
Mekanism:BasicBlock:12, Copper Block
Mekanism:BasicBlock:13, Tin Block
Mekanism:BasicBlock:14, Thermal Evaporation Controller
Mekanism:BasicBlock:15, Thermal Evaporation Valve
Mekanism:BasicBlock2:0, Thermal Evaporation Block
Mekanism:BasicBlock2:1, Induction Casing
Mekanism:BasicBlock2:2, Induction Port
Mekanism:BasicBlock2:3, Basic Induction Cell
Mekanism:BasicBlock2:3, Advanced Induction Cell
Mekanism:BasicBlock2:3, Elite Induction Cell
Mekanism:BasicBlock2:3, Ultimate Induction Cell
Mekanism:BasicBlock2:4, Basic Induction Provider
Mekanism:BasicBlock2:4, Advanced Induction Provider
Mekanism:BasicBlock2:4, Elite Induction Provider
Mekanism:BasicBlock2:4, Ultimate Induction Provider
Mekanism:BasicBlock2:5, Superheating Element
Mekanism:BasicBlock2:6, Pressure Disperser
Mekanism:BasicBlock2:7, Boiler Casing
Mekanism:BasicBlock2:8, Boiler Valve
Mekanism:BasicBlock2:9, Security Desk
Mekanism:BasicBlock2:10, Raw Osmium Block
Mekanism:MachineBlock:0, Enrichment Chamber
Mekanism:MachineBlock:1, Osmium Compressor
Mekanism:MachineBlock:2, Combiner
Mekanism:MachineBlock:3, Crusher
Mekanism:MachineBlock:4, Digital Miner
Mekanism:MachineBlock:5, Basic Smelting Factory
Mekanism:MachineBlock:5, Basic Enriching Factory
Mekanism:MachineBlock:5, Basic Crushing Factory
Mekanism:MachineBlock:5, Basic Compressing Factory
Mekanism:MachineBlock:5, Basic Combining Factory
Mekanism:MachineBlock:5, Basic Purifying Factory
Mekanism:MachineBlock:5, Basic Injecting Factory
Mekanism:MachineBlock:5, Basic Infusing Factory
Mekanism:MachineBlock:6, Advanced Smelting Factory
Mekanism:MachineBlock:6, Advanced Enriching Factory
Mekanism:MachineBlock:6, Advanced Crushing Factory
Mekanism:MachineBlock:6, Advanced Compressing Factory
Mekanism:MachineBlock:6, Advanced Combining Factory
Mekanism:MachineBlock:6, Advanced Purifying Factory
Mekanism:MachineBlock:6, Advanced Injecting Factory
Mekanism:MachineBlock:6, Advanced Infusing Factory
Mekanism:MachineBlock:7, Elite Smelting Factory
Mekanism:MachineBlock:7, Elite Enriching Factory
Mekanism:MachineBlock:7, Elite Crushing Factory
Mekanism:MachineBlock:7, Elite Compressing Factory
Mekanism:MachineBlock:7, Elite Combining Factory
Mekanism:MachineBlock:7, Elite Purifying Factory
Mekanism:MachineBlock:7, Elite Injecting Factory
Mekanism:MachineBlock:7, Elite Infusing Factory
Mekanism:MachineBlock:8, Metallurgic Infuser
Mekanism:MachineBlock:9, Purification Chamber
Mekanism:MachineBlock:10, Energized Smelter
Mekanism:MachineBlock:11, Teleporter
Mekanism:MachineBlock:12, Electric Pump
Mekanism:MachineBlock:13, Personal Chest
Mekanism:MachineBlock:14, Chargepad
Mekanism:MachineBlock:15, Logistical Sorter
Mekanism:MachineBlock2:0, Rotary Condensentrator
Mekanism:MachineBlock2:1, Chemical Oxidizer
Mekanism:MachineBlock2:2, Chemical Infuser
Mekanism:MachineBlock2:3, Chemical Injection Chamber
Mekanism:MachineBlock2:4, Electrolytic Separator
Mekanism:MachineBlock2:5, Precision Sawmill
Mekanism:MachineBlock2:6, Chemical Dissolution Chamber
Mekanism:MachineBlock2:7, Chemical Washer
Mekanism:MachineBlock2:8, Chemical Crystallizer
Mekanism:MachineBlock2:9, Seismic Vibrator
Mekanism:MachineBlock2:10, Pressurized Reaction Chamber
Mekanism:MachineBlock2:11, Basic Fluid Tank
Mekanism:MachineBlock2:11, Advanced Fluid Tank
Mekanism:MachineBlock2:11, Elite Fluid Tank
Mekanism:MachineBlock2:11, Ultimate Fluid Tank
Mekanism:MachineBlock2:12, Fluidic Plenisher
Mekanism:MachineBlock2:13, Laser
Mekanism:MachineBlock2:14, Laser Amplifier
Mekanism:MachineBlock2:15, Laser Tractor Beam
Mekanism:MachineBlock3:0, Quantum Entangloporter
Mekanism:MachineBlock3:1, Solar Neutron Activator
Mekanism:MachineBlock3:3, Oredictionificator
Mekanism:MachineBlock3:4, Resistive Heater
Mekanism:MachineBlock3:5, Formulaic Assemblicator
Mekanism:MachineBlock3:6, Fuelwood Heater
Mekanism:OreBlock:0, Osmium Ore
Mekanism:OreBlock:1, Copper Ore
Mekanism:OreBlock:2, Tin Ore
Mekanism:DeepslateOreBlock:0, Deepslate Osmium Ore
Mekanism:DeepslateOreBlock:1, Deepslate Copper Ore
Mekanism:DeepslateOreBlock:2, Deepslate Tin Ore
Mekanism:EnergyCube, tile.EnergyCube.name
Mekanism:ObsidianTNT, Obsidian TNT
Mekanism:BoundingBlock, Bounding Block
Mekanism:GasTank:0, Basic Gas Tank
Mekanism:GasTank:0, Advanced Gas Tank
Mekanism:GasTank:0, Elite Gas Tank
Mekanism:GasTank:0, Ultimate Gas Tank
Mekanism:CardboardBox, Cardboard Box
Mekanism:PlasticBlock:0, §8Black Plastic Block
Mekanism:PlasticBlock:1, §cRed Plastic Block
Mekanism:PlasticBlock:2, §2Green Plastic Block
Mekanism:PlasticBlock:3, §6Brown Plastic Block
Mekanism:PlasticBlock:4, §1Blue Plastic Block
Mekanism:PlasticBlock:5, §5Purple Plastic Block
Mekanism:PlasticBlock:6, §3Cyan Plastic Block
Mekanism:PlasticBlock:7, §7Light Grey Plastic Block
Mekanism:PlasticBlock:8, §8Grey Plastic Block
Mekanism:PlasticBlock:9, §dPink Plastic Block
Mekanism:PlasticBlock:10, §aLime Plastic Block
Mekanism:PlasticBlock:11, §eYellow Plastic Block
Mekanism:PlasticBlock:12, §9Light Blue Plastic Block
Mekanism:PlasticBlock:13, §dMagenta Plastic Block
Mekanism:PlasticBlock:14, §6Orange Plastic Block
Mekanism:PlasticBlock:15, §fWhite Plastic Block
Mekanism:SlickPlasticBlock:0, §8Black Slick Plastic Block
Mekanism:SlickPlasticBlock:1, §cRed Slick Plastic Block
Mekanism:SlickPlasticBlock:2, §2Green Slick Plastic Block
Mekanism:SlickPlasticBlock:3, §6Brown Slick Plastic Block
Mekanism:SlickPlasticBlock:4, §1Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:5, §5Purple Slick Plastic Block
Mekanism:SlickPlasticBlock:6, §3Cyan Slick Plastic Block
Mekanism:SlickPlasticBlock:7, §7Light Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:8, §8Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:9, §dPink Slick Plastic Block
Mekanism:SlickPlasticBlock:10, §aLime Slick Plastic Block
Mekanism:SlickPlasticBlock:11, §eYellow Slick Plastic Block
Mekanism:SlickPlasticBlock:12, §9Light Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:13, §dMagenta Slick Plastic Block
Mekanism:SlickPlasticBlock:14, §6Orange Slick Plastic Block
Mekanism:SlickPlasticBlock:15, §fWhite Slick Plastic Block
Mekanism:GlowPlasticBlock:0, §8Black Plastic Glow Block
Mekanism:GlowPlasticBlock:1, §cRed Plastic Glow Block
Mekanism:GlowPlasticBlock:2, §2Green Plastic Glow Block
Mekanism:GlowPlasticBlock:3, §6Brown Plastic Glow Block
Mekanism:GlowPlasticBlock:4, §1Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:5, §5Purple Plastic Glow Block
Mekanism:GlowPlasticBlock:6, §3Cyan Plastic Glow Block
Mekanism:GlowPlasticBlock:7, §7Light Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:8, §8Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:9, §dPink Plastic Glow Block
Mekanism:GlowPlasticBlock:10, §aLime Plastic Glow Block
Mekanism:GlowPlasticBlock:11, §eYellow Plastic Glow Block
Mekanism:GlowPlasticBlock:12, §9Light Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:13, §dMagenta Plastic Glow Block
Mekanism:GlowPlasticBlock:14, §6Orange Plastic Glow Block
Mekanism:GlowPlasticBlock:15, §fWhite Plastic Glow Block
Mekanism:ReinforcedPlasticBlock:0, §8Black Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:1, §cRed Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:2, §2Green Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:3, §6Brown Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:4, §1Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:5, §5Purple Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:6, §3Cyan Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:7, §7Light Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:8, §8Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:9, §dPink Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:10, §aLime Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:11, §eYellow Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:12, §9Light Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:13, §dMagenta Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:14, §6Orange Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:15, §fWhite Reinforced Plastic Block
Mekanism:RoadPlasticBlock:0, §8Black Plastic Road
Mekanism:RoadPlasticBlock:1, §cRed Plastic Road
Mekanism:RoadPlasticBlock:2, §2Green Plastic Road
Mekanism:RoadPlasticBlock:3, §6Brown Plastic Road
Mekanism:RoadPlasticBlock:4, §1Blue Plastic Road
Mekanism:RoadPlasticBlock:5, §5Purple Plastic Road
Mekanism:RoadPlasticBlock:6, §3Cyan Plastic Road
Mekanism:RoadPlasticBlock:7, §7Light Grey Plastic Road
Mekanism:RoadPlasticBlock:8, §8Grey Plastic Road
Mekanism:RoadPlasticBlock:9, §dPink Plastic Road
Mekanism:RoadPlasticBlock:10, §aLime Plastic Road
Mekanism:RoadPlasticBlock:11, §eYellow Plastic Road
Mekanism:RoadPlasticBlock:12, §9Light Blue Plastic Road
Mekanism:RoadPlasticBlock:13, §dMagenta Plastic Road
Mekanism:RoadPlasticBlock:14, §6Orange Plastic Road
Mekanism:RoadPlasticBlock:15, §fWhite Plastic Road
Mekanism:PlasticFence:0, §8Black Plastic Barrier
Mekanism:PlasticFence:1, §cRed Plastic Barrier
Mekanism:PlasticFence:2, §2Green Plastic Barrier
Mekanism:PlasticFence:3, §6Brown Plastic Barrier
